X - Plot 0	Y - Plot 0	X - Plot 1	Y - Plot 1	X - Plot 2	Y - Plot 2	X - Plot 3	Y - Plot 3
		-3.12576	-1.82666	1.77627	-0.545455	5.13677	-2.84848
		-3.21212	-1.86306	1.63636	-0.479616	5.12121	-2.76065
		-3.22458	-1.86882	1.5069	-0.424242	5.11519	-2.72727
		-3.2461	-1.87879	1.48485	-0.415123	5.11397	-2.72148
		-3.32055	-1.91326	1.46355	-0.407204	5.09005	-2.60606
		-3.36364	-1.93325	1.33333	-0.357958	5.08275	-2.57529
		-3.4148	-1.95907	1.19022	-0.309752	5.06159	-2.48485
		-3.49502	-2	1.18182	-0.306864	5.04561	-2.42436
		-3.50733	-2.00626	1.16915	-0.30303	5.02978	-2.36364
		-3.51515	-2.01028	1.0303	-0.262237	5.00203	-2.26829
		-3.59707	-2.05568	0.955588	-0.243258	4.9946	-2.24242
		-3.66667	-2.09507	0.878788	-0.223163	4.9697	-2.16406
		-3.68531	-2.10629	0.740549	-0.192439	4.95578	-2.12121
		-3.7094	-2.12121	0.727273	-0.189382	4.95022	-2.10563
		-3.77098	-2.15898	0.687722	-0.181818	4.91302	-2
		-3.81818	-2.1889	0.575758	-0.160952	4.8879	-1.93456
		-3.85467	-2.21323	0.543726	-0.156193	4.86674	-1.87879
		-3.89674	-2.24242	0.424242	-0.137433	4.81818	-1.7607
		-3.93603	-2.26936	0.359008	-0.12963	4.81687	-1.75758
		-3.9697	-2.29352	0.272727	-0.118561	4.81612	-1.75592
		-4.01503	-2.32737	0.183468	-0.11041	4.76238	-1.63636
		-4.06116	-2.36364	0.121212	-0.104173	4.72733	-1.56368
		-4.09165	-2.38729	0.0157658	-0.0974612	4.70416	-1.51515
		-4.12121	-2.41165	-0.030303	-0.0941123	4.66667	-1.44163
		-4.16567	-2.44929	-0.145188	-0.0899105	4.64167	-1.39394
		-4.20506	-2.48485	-0.181818	-0.088235	4.62151	-1.35782
		-4.23704	-2.51339	-0.300287	-0.087043	4.57446	-1.27273
		-4.27273	-2.54768	-0.333333	-0.0864049	4.51515	-1.17159
		-4.3056	-2.57976	-0.450272	-0.0882669	4.50302	-1.15152
		-4.33059	-2.60606	-0.484848	-0.0884965	4.49034	-1.13166
		-4.37115	-2.64853	-0.595759	-0.0930902	4.42608	-1.0303
		-4.42424	-2.70914	-0.636364	-0.0943955	4.36364	-0.936838
		-4.43356	-2.71982	-0.73726	-0.101101	4.34448	-0.909091
		-4.43952	-2.72727	-0.787879	-0.103999	4.31799	-0.872573
